282433,别对映像研出手！,映像研には手を出すな！,139,8.2
325585,无职转生 ～在异世界认真地活下去～ 第二季,無職転生 ～異世界行ったら本気だす～ 第2クール,140,8.2
246238,瑞克和莫蒂 第四季,Rick and Morty Season 4,141,8.2
278569,高分少女 第二季,ハイスコアガールⅡ,144,8.2
9565,龙珠,ドラゴンボール,145,8.2
28533,宇宙兄弟,宇宙兄弟,149,8.2
43558,JOJO的奇妙冒险,ジョジョの奇妙な冒険,150,8.1
10639,Fate/Zero,Fate/Zero,152,8.1
22588,爆漫王。2,バクマン。2,153,8.1
240760,灵能百分百 第二季,モブサイコ100 II,154,8.1
110148,怪诞小镇 第二季,Gravity Falls Season 2,155,8.2
175596,终物语（下）,終物語(下),156,8.1
288,寒蝉鸣泣之时 解,ひぐらしのなく頃に解,158,8.1
909,龙与虎,とらドラ!,159,8.1
1029,悠久之翼2,ef - a tale of melodies.,160,8.1
85631,JOJO的奇妙冒险 星尘斗士,ジョジョの奇妙な冒険 スターダストクルセイダース,161,8.1
217300,进击的巨人 第三季,進撃の巨人 Season 3,162,8.1
1625,海马,カイバ,166,8.1
1266,交响诗篇,交響詩篇エウレカセブン,168,8.1
14878,小魔女DoReMi 大合奏,おジャ魔女どれみドッカ～ン!,169,8.3
120791,银魂°,銀魂°,170,8.1
18294,歌牌情缘,ちはやふる,175,8.1
1948,奇诺之旅,キノの旅 -the Beautiful World-,180,8.1
891,续 夏目友人帐,続 夏目友人帳,181,8.1
843,妄想代理人,妄想代理人,182,8.1
259,夏目友人帐,夏目友人帳,184,8.1
289,寒蝉鸣泣之时,ひぐらしのなく頃に,185,8.1
127563,一拳超人,ワンパンマン,187,8.1
68812,物语系列 第二季,〈物語〉シリーズ セカンドシーズン,188,8.1
10395,罗密欧的蓝天,ロミオの青い空,189,8.6
10843,白兔糖,うさぎドロップ,191,8.1
10404,明日之丈,あしたのジョー,192,8.4
8402,吊带袜天使,Panty & Stocking with Garterbelt,194,8.0
235128,JOJO的奇妙冒险 黄金之风,ジョジョの奇妙な冒険 黄金の風,196,8.0
11577,偶像大师,THE iDOLM@STER,198,8.0
234,AIR,,199,8.0
10379,装甲骑兵VOTOMS,装甲騎兵ボトムズ,202,8.2
218707,少女终末旅行,少女終末旅行,203,8.0
9005,龙珠Z,ドラゴンボールZ,204,8.1
80864,太空丹迪,スペース☆ダンディ,205,8.0
23495,夏目友人帐 肆,夏目友人帳 肆,206,8.0
486,娜娜,NANA-ナナ-,207,8.0
1940,魔卡少女樱,カードキャプターさくら,208,8.0
72941,斩服少女,キルラキル,209,8.0
21032,猎人,HUNTER×HUNTER,210,8.0
18624,回转企鹅罐,輪るピングドラム,212,8.0
440,校园迷糊大王,スクールランブル,213,8.0
3774,轻音少女 第二季,けいおん!!,214,8.0
77480,银之匙 Silver Spoon 第二季,銀の匙 Silver Spoon 第2期,217,8.0
100444,四月是你的谎言,四月は君の嘘,219,8.0
101442,悠哉日常大王 Repeat,のんのんびより  りぴーと,220,8.0
1373,监狱兔 第一季,Usavich,221,8.0
2461,搞笑漫画日和,ギャグマンガ日和,222,8.0
3892,赌博默示录,逆境無頼カイジ Ultimate Survivor,225,8.0
3428,爆漫王。,バクマン。,226,8.0
980,黑礁 The Second Barrage,BLACK LAGOON The Second Barrage,227,8.0
799,悠久之翼,ef - a tale of memories.,229,8.0
54552,宇宙战舰大和号2199,宇宙戦艦ヤマト2199,230,8.0
1976,精灵守护者,精霊の守り人,231,8.0
696,剑风传奇,剣風伝奇ベルセルク,233,8.0
1443,四叶游戏,クロスゲーム,234,8.0
1424,轻音少女,けいおん！,235,8.0
1937,无限的未知,無限のリヴァイアス,236,8.0
78405,悠哉日常大王,のんのんびより,237,8.0
515,机动战舰抚子号,機動戦艦ナデシコ,239,8.0
443,交响情人梦,のだめカンタービレ,240,8.0
292,DARKER THAN BLACK -黑之契约者-,DARKER THAN BLACK -黒の契約者-,242,8.0
28205,日常 ETV版,日常 Eテレ版,244,8.0
4608,降世神通：最后的气宗 第三季,Avatar:The Last Airbender Season 3,245,8.1
1606,凉宫春日的忧郁 2009,涼宮ハルヒの憂鬱,247,8.0
29870,小马驹G4 第一季,My Little Pony: Friendship Is Magic : S1,248,8.1
